pair_id,run_id,scenario_id,scenario,traffic_mode,cold_chain_required,facility_id,retail_id,trip_leg,units_per_case_policy,case_geometry_policy,load_assignment_policy,artifact_mode,packaging_source_type,packaging_confidence_level,packaging_rationale,product_type,origin_network,route_id,route_plan_id,route_completed,charger_levels_used,charger_types_used,connector_types_used,station_ids_used,max_charge_rate_kw_min,max_charge_rate_kw_max,soc_min_observed,soc_max_observed,leg,distance_miles,duration_minutes,co2_kg_total,co2_kg_total_transport,co2_kg_upstream,co2_kg_full,co2_kg_propulsion,co2_kg_tru,kcal_delivered,mass_required_for_fu_kg,protein_kg_delivered,protein_per_1000kcal,co2_per_1000kcal,co2_per_kg_protein,co2_g_per_g_protein,co2_full_per_1000kcal,co2_full_per_kg_protein,co2_full_g_per_g_protein,transport_cost_usd,transport_cost_total,transport_cost_per_1000kcal,transport_cost_per_kcal,transport_cost_per_kg_protein,base_price_per_kcal,delivered_price_per_kcal,price_index,price_index_vs_dry_baseline,energy_kwh_propulsion,energy_kwh_tru,energy_kwh_total,diesel_gal_propulsion,diesel_gal_tru,charge_stops,refuel_stops,delay_minutes,congestion_delay_hours,traffic_state_id,driving_time_h,traffic_delay_time_h,charging_or_refueling_time_h,rest_time_h,trip_duration_total_h,payload_max_lb_draw,units_per_truck,units_per_truck_capacity,cases_per_truck_capacity,assigned_units,assigned_cases,actual_units_loaded,load_fraction,unused_capacity_units,cases_per_pallet_draw,units_per_case_draw,cube_limit_units,weight_limit_units,limiting_constraint,payload_utilization_pct,cube_utilization_pct,cases_per_layer,layers,packing_efficiency_draw,chosen_pack_pattern,pack_pattern_index,derived_case_L_in,derived_case_W_in,derived_case_H_in,product_mass_lb_per_truck,kcal_per_truck,protein_kg_per_truck,kcal_per_kg_product,protein_g_per_kg_product,delivery_time_min,driver_driving_min,driver_on_duty_min,driver_off_duty_min,time_charging_min,time_refuel_min,time_load_unload_min,time_traffic_delay_min,num_break_30min,num_rest_10hr,sanity_flag_low_cube_util,sanity_flag_high_cube_util,sanity_flag_unrealistic_case_dims,truckloads_per_1e6_kcal,truckloads_per_1000kg_product,trucker_hours_per_1000kcal,fuel_type_outbound,fuel_type_return,status,source_summary_csv,powertrain,status_norm,total_trip_time_h
DISTRIBUTION_DAVIS_diesel_seed_4600,DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4600,distribution_davis_prod_diesel_chunk_1,DISTRIBUTION_DAVIS,stochastic,FALSE,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,measured_primary,medium,Primary package mass measured at 165.3 g for a 13.6 kg bag (fraction 0.0121). Primary packaging only; pallet and secondary shipping packaging remain separate assumptions.,dry,dry_factory_set,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,,TRUE,,,,,,,,,outbound,1712.2245075939,4035.14176779985,3733.74786370398,3733.74786370398,,,3733.74786370398,0,,,,,0.0698641256502055,,,,,,,,,,,,,,,0,0,0,230.963044352238,0,0,1,63.3414892826916,0.574914875357216,stochastic_tm0.9870_qd10.58,34.6970191696715,0.398564119204377,0.657127368840483,0,35.7527106577164,42668.6855262389,1196,1196,598,1196,598,1196,1,0,23,2,1196,1348,cube,88.9768483363025,100,2,13,0.885796337831366,2x3,3,24,16,6,35880,53442991.3629499,2266.86547936163,3283.76888901973,139.286034461781,4213.93599188606,2105.73499733257,2413.93599188606,1800,0,39.427642130429,153.773352423057,23.9138471522626,3,3,0,0,0,0.0187115274519095,0.0614443317126192,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_01/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4600/summaries.csv,diesel,ok,35.7527106577164
DISTRIBUTION_DAVIS_diesel_seed_4600,DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4600,distribution_davis_prod_diesel_chunk_1,DISTRIBUTION_DAVIS,stochastic,TRUE,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,measured_primary_excludes_secondary,medium,Primary package mass measured at 29 g/package (sensitivity 27-31 g/package). Secondary cardboard box mass is unmeasured and kept separate (not added to measured primary assumption).,refrigerated,refrigerated_factory_set,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,,TRUE,,,,,,,,,outbound,1787.16634525737,4130.91288753351,4197.78962635093,4197.78962635093,,,3836.67315985621,361.116466494718,,,,,0.568272294502744,,,,,,,,,,,,,,,0,0,0,241.071996127745,35.438318596145,0,1,68.1585821125801,0.54666702873098,stochastic_tm0.9870_qd10.58,36.2156625289319,0.37031627257814,0.765660095964861,0,37.3516388974749,42668.6855262389,1716,1716,286,1716,286,1716,1,0,11,6,1716,8910,cube,21.2910465309394,100,2,6,0.91786045610576,2x3,3,17.8976,23.4864,11.1456,7722,7386933.45946792,774.736853829326,2108.96148806457,221.186531200736,4309.87168627155,2195.1587280906,2509.87168627155,1800,0,45.9396057578916,153.773352423057,22.2189763546884,3,3,0,0,0,0.135374171905974,0.285498915028331,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_01/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4600/summaries.csv,diesel,ok,37.3516388974749
DISTRIBUTION_DAVIS_diesel_seed_4601,DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4601,distribution_davis_prod_diesel_chunk_1,DISTRIBUTION_DAVIS,stochastic,FALSE,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,measured_primary,medium,Primary package mass measured at 165.3 g for a 13.6 kg bag (fraction 0.0121). Primary packaging only; pallet and secondary shipping packaging remain separate assumptions.,dry,dry_factory_set,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,,TRUE,,,,,,,,,outbound,1712.2245075939,4124.02927671671,3838.94626906609,3838.94626906609,,,3838.94626906609,0,,,,,0.0702350211880467,,,,,,,,,,,,,,,0,0,0,241.307155499123,0,0,1,52.8409188171514,0.426032651603155,stochastic_tm0.9420_qd25.56,36.3535037681369,0,0.880681980285857,0,37.2341857484228,42180.7273121148,1196,1196,598,1196,598,1196,1,0,23,2,1196,1334,cube,89.9388120388154,100,2,13,0.908922355119669,2x3,3,24,16,6,35880,54658576.3644568,1928.44699553304,3358.45969707721,118.492136883736,4272.13409413438,2181.21022608821,2472.13409413438,1800,0,52.8409188171514,123.082949229015,0,3,3,0,0,0,0.0182953905226532,0.0614443317126192,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_01/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4601/summaries.csv,diesel,ok,37.2341857484228
DISTRIBUTION_DAVIS_diesel_seed_4601,DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4601,distribution_davis_prod_diesel_chunk_1,DISTRIBUTION_DAVIS,stochastic,TRUE,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,measured_primary_excludes_secondary,medium,Primary package mass measured at 29 g/package (sensitivity 27-31 g/package). Secondary cardboard box mass is unmeasured and kept separate (not added to measured primary assumption).,refrigerated,refrigerated_factory_set,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,,TRUE,,,,,,,,,outbound,1787.16634525737,4229.58475538492,4326.20715800971,4326.20715800971,,,3946.86249791547,379.344660094239,,,,,0.606714564918572,,,,,,,,,,,,,,,0,0,0,251.868855553203,37.2271501564514,0,1,63.1000969246343,0.426032651603155,stochastic_tm0.9420_qd25.56,37.944649301802,0,1.05166828207724,0,38.9963175838792,42180.7273121148,1716,1716,286,1716,286,1716,1,0,11,6,1716,8883,cube,21.6777245681956,100,2,6,0.944503848068847,2x3,3,17.8976,23.4864,11.1456,7722,7130547.72072323,756.951367509924,2035.76363782422,216.108794153295,4377.86200426178,2276.67895810813,2577.86200426178,1800,0,63.1000969246343,123.082949229015,0,3,3,0,0,0,0.140241681167597,0.285498915028331,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_01/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4601/summaries.csv,diesel,ok,38.9963175838792
DISTRIBUTION_DAVIS_diesel_seed_4602,DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4602,distribution_davis_prod_diesel_chunk_2,DISTRIBUTION_DAVIS,stochastic,FALSE,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,measured_primary,medium,Primary package mass measured at 165.3 g for a 13.6 kg bag (fraction 0.0121). Primary packaging only; pallet and secondary shipping packaging remain separate assumptions.,dry,dry_factory_set,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,,TRUE,,,,,,,,,outbound,1712.2245075939,4107.47190866868,4021.03104688656,4021.03104688656,,,4021.03104688656,0,,,,,0.0830319675464076,,,,,,,,,,,,,,,0,0,0,259.172153999552,0,0,1,59.2557796101466,0.287847278157565,stochastic_tm0.9520_qd17.27,35.9706294491785,0,0.987596326835777,0,36.9582257760143,44223.8400900932,1144,1144,572,1144,572,1144,1,0,22,2,1144,1402,cube,82.0796250806415,100,2,13,0.858247396689643,3x2,2,24,16,6,34320,48427505.2814948,2136.3917632533,3110.850048464,137.235944358963,4258.41536390338,2158.23776695072,2458.41536390338,1800,0,59.2557796101466,125.921817342517,0,3,3,0,0,0,0.0206494221452725,0.0642372558813746,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_02/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4602/summaries.csv,diesel,ok,36.9582257760143
DISTRIBUTION_DAVIS_diesel_seed_4602,DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4602,distribution_davis_prod_diesel_chunk_2,DISTRIBUTION_DAVIS,stochastic,TRUE,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,measured_primary_excludes_secondary,medium,Primary package mass measured at 29 g/package (sensitivity 27-31 g/package). Secondary cardboard box mass is unmeasured and kept separate (not added to measured primary assumption).,refrigerated,refrigerated_factory_set,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,,TRUE,,,,,,,,,outbound,1787.16634525737,4235.4368558685,4436.07225065688,4436.07225065688,,,4137.9481754372,298.124075219685,,,,,0.908366776598615,,,,,,,,,,,,,,,0,0,0,270.515781780714,29.256533387604,0,1,92.9280850441104,1.06595623300501,stochastic_tm0.9520_qd17.27,37.5450170723421,0.778108954847448,0.770692462554392,0,39.0938184897439,44223.8400900932,1144,1144,286,1144,286,1144,1,0,11,4,1144,8991,cube,15.0265059307149,100,2,6,0.932225574581033,3x2,2,23.4864,17.8976,11.1456,5148,4883569.4621811,542.667344845605,2091.3806743773,232.396407262089,4386.55092672716,2299.38756163137,2586.55092672716,1800,0,46.2415477532635,125.921817342517,46.6865372908469,3,3,0,0,0,0.204768255626158,0.428248372542497,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_02/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4602/summaries.csv,diesel,ok,39.0938184897439
DISTRIBUTION_DAVIS_diesel_seed_4603,DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4603,distribution_davis_prod_diesel_chunk_2,DISTRIBUTION_DAVIS,stochastic,FALSE,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,measured_primary,medium,Primary package mass measured at 165.3 g for a 13.6 kg bag (fraction 0.0121). Primary packaging only; pallet and secondary shipping packaging remain separate assumptions.,dry,dry_factory_set,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,,TRUE,,,,,,,,,outbound,1712.2245075939,3976.83305821816,4083.73821809774,4083.73821809774,,,4083.73821809774,0,,,,,0.0721092954658209,,,,,,,,,,,,,,,0,0,0,265.332048843316,0,0,1,42.9723522991761,0.179221849779521,stochastic_tm1.0053_qd10.75,34.0646866197051,0,0.716205871652934,0,34.780892491358,43441.1062667322,1248,1248,624,1248,624,1248,1,0,24,2,1248,1381,cube,90.5658114149466,100,2,13,0.92537327606374,5x1,1,24,16,6,37440,56632618.4678006,2290.64698252502,3334.76367010267,134.882803321162,4093.84070134419,2043.8811971823,2293.84070134419,1800,0,42.9723522991761,91.9871518627123,0,3,3,0,0,0,0.0176576684436473,0.0588841512245934,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_02/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4603/summaries.csv,diesel,ok,34.780892491358
DISTRIBUTION_DAVIS_diesel_seed_4603,DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4603,distribution_davis_prod_diesel_chunk_2,DISTRIBUTION_DAVIS,stochastic,TRUE,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,measured_primary_excludes_secondary,medium,Primary package mass measured at 29 g/package (sensitivity 27-31 g/package). Secondary cardboard box mass is unmeasured and kept separate (not added to measured primary assumption).,refrigerated,refrigerated_factory_set,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,,TRUE,,,,,,,,,outbound,1787.16634525737,4113.9475992163,5942.22497669434,5942.22497669434,,,5582.58235863479,359.642618059544,,,,,0.470149141835279,,,,,,,,,,,,,,,0,0,0,276.945287202621,35.2936818507894,0,2,90.7904496127059,0.179221849779521,stochastic_tm1.0053_qd10.75,35.5556536064459,0,1.51317416021176,0,37.0688277666576,43441.1062667322,2860,2860,572,2860,572,2860,1,0,22,5,2860,8951,cube,33.5100533263008,100,4,6,0.944826089251158,5x1,1,39.144,8.9488,11.1456,12870,12639021.2124991,1299.02786537928,2165.05610591314,222.522627694412,4231.11681786216,2133.33921638674,2431.11681786216,1800,0,90.7904496127059,91.9871518627123,0,3,3,0,0,0,0.0791200507687311,0.171299349016999,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_02/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4603/summaries.csv,diesel,ok,37.0688277666576
DISTRIBUTION_DAVIS_diesel_seed_4604,DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4604,distribution_davis_prod_diesel_chunk_3,DISTRIBUTION_DAVIS,stochastic,FALSE,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,measured_primary,medium,Primary package mass measured at 165.3 g for a 13.6 kg bag (fraction 0.0121). Primary packaging only; pallet and secondary shipping packaging remain separate assumptions.,dry,dry_factory_set,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,,TRUE,,,,,,,,,outbound,1712.2245075939,3973.38735458454,3999.90177460227,3999.90177460227,,,3999.90177460227,0,,,,,0.0733090308828136,,,,,,,,,,,,,,,0,0,0,257.098169100283,0,0,1,37.3308487791497,0.153865769143817,stochastic_tm1.0042_qd9.23,34.1012836536346,0,0.622180812985829,0,34.7234644666204,40234.8363374441,1248,1248,624,1248,624,1248,1,0,24,2,1248,1268,cube,98.4181225092911,100,2,13,0.930992967600021,3x2,2,24,16,6,37440,54562196.8594322,2156.82873758807,3212.84865101684,127.003029549685,4051.08445304501,2046.07701921807,2251.08445304501,1800,0,37.3308487791497,52.6765850477948,0,3,3,0,0,0,0.0183277077823,0.0588841512245934,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_03/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4604/summaries.csv,diesel,ok,34.7234644666204
DISTRIBUTION_DAVIS_diesel_seed_4604,DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4604,distribution_davis_prod_diesel_chunk_3,DISTRIBUTION_DAVIS,stochastic,TRUE,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,measured_primary_excludes_secondary,medium,Primary package mass measured at 29 g/package (sensitivity 27-31 g/package). Secondary cardboard box mass is unmeasured and kept separate (not added to measured primary assumption).,refrigerated,refrigerated_factory_set,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,,TRUE,,,,,,,,,outbound,1787.16634525737,4069.49160086711,4436.26348093814,4436.26348093814,,,4115.01724141731,321.246239520829,,,,,1.06578641955276,,,,,,,,,,,,,,,0,0,0,268.351021262387,31.5256368518969,0,1,44.0427163646838,0.153865769143817,stochastic_tm1.0042_qd9.23,35.5938524449072,0,0.734045272744729,0,36.327897717652,40234.8363374441,1144,1144,286,1144,286,1144,1,0,11,4,1144,8257,cube,16.2353441283061,100,2,6,0.941392410571027,3x2,2,23.4864,17.8976,11.1456,5148,4162431.984074,434.658301177672,1782.55472299853,186.141710091425,4147.3504481069,2135.63114669442,2347.3504481069,1800,0,44.0427163646838,52.6765850477948,0,3,3,0,0,0,0.240244165868927,0.428248372542497,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_03/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4604/summaries.csv,diesel,ok,36.327897717652
DISTRIBUTION_DAVIS_diesel_seed_4605,DISTRIBUTION_DAVIS_diesel_dry_factory_set_stochastic_4605,distribution_davis_prod_diesel_chunk_3,DISTRIBUTION_DAVIS,stochastic,FALSE,FACILITY_DRY_TOPEKA,,outbound,fixed_2,fixed_carton_dims_24x16x6,full_truckload,summary_only,measured_primary,medium,Primary package mass measured at 165.3 g for a 13.6 kg bag (fraction 0.0121). Primary packaging only; pallet and secondary shipping packaging remain separate assumptions.,dry,dry_factory_set,6b88a97d8f305b6b031d969855c6487a8bff10cadafd6ed6940f2fa0c11c1138,,TRUE,,,,,,,,,outbound,1712.2245075939,3964.01572791735,3807.31268647189,3807.31268647189,,,3807.31268647189,0,,,,,0.0713832649832431,,,,,,,,,,,,,,,0,0,0,238.196836604748,0,0,1,80.3413917672917,0.671992254824801,stochastic_tm1.0306_qd20.70,33.2282387403932,0.327003298434892,1.01201989768664,0,34.5672619365147,42774.2848829914,1196,1196,598,1196,598,1196,1,0,23,2,1196,1357,cube,88.3989163543018,100,2,13,0.901031420318583,3x2,2,24,16,6,35880,53336208.2466477,2275.55219574901,3277.20767180036,139.819783944981,4138.32654629159,2013.3145223297,2338.32654629159,1800,0,60.7211938611981,149.290830100696,19.6201979060935,3,3,0,0,0,0.018748989342767,0.0614443317126192,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_03/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4605/summaries.csv,diesel,ok,34.5672619365147
DISTRIBUTION_DAVIS_diesel_seed_4605,DISTRIBUTION_DAVIS_diesel_refrigerated_factory_set_stochastic_4605,distribution_davis_prod_diesel_chunk_3,DISTRIBUTION_DAVIS,stochastic,TRUE,FACILITY_REFRIG_ENNIS,,outbound,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern,full_truckload,summary_only,measured_primary_excludes_secondary,medium,Primary package mass measured at 29 g/package (sensitivity 27-31 g/package). Secondary cardboard box mass is unmeasured and kept separate (not added to measured primary assumption).,refrigerated,refrigerated_factory_set,77d76aed2cedb894eabb52e1f4bb2f347c5c2d411a5b10d914f2b3b710d3b42f,,TRUE,,,,,,,,,outbound,1787.16634525737,4049.2871892333,4230.43572520065,4230.43572520065,,,3913.65120027979,316.784524920856,,,,,0.672488644725545,,,,,,,,,,,,,,,0,0,0,248.622402049942,31.0877845849712,0,1,78.5090557819347,0.569614841812432,stochastic_tm1.0306_qd20.70,34.6825954923739,0.224625885422524,1.08385837760972,0,35.9910797554062,42774.2848829914,1430,1430,286,1430,286,1430,1,0,11,5,1430,8694,cube,18.4285335150911,100,2,6,0.942661224332344,3x2,2,23.4864,17.8976,11.1456,6435,6290716.96359597,735.905757051289,2155.19144142836,252.120354241495,4223.75561542506,2094.43328266778,2423.75561542506,1800,0,65.0315026565833,149.290830100696,13.4775531253514,3,3,0,0,0,0.158964392419329,0.342598698033998,,,,OK,outputs/distribution/local_chunked_run/phase2/chunk_03/diesel/pair_DISTRIBUTION_DAVIS_diesel_seed_4605/summaries.csv,diesel,ok,35.9910797554062
